Team 1,Team 2,Winner,Margin,Win by Runs,Win by Wickets,Ground,Match Date,Scorecard
New Zealand,Pakistan,New Zealand,61 runs,61,,Wellington,06/Jan/18,ODI # 3946
New Zealand,Pakistan,New Zealand,8 wickets,,8,Nelson,09/Jan/18,ODI # 3947
U.A.E.,Ireland,Ireland,4 wickets,,4,ICCA Dubai,11/Jan/18,ODI # 3948
New Zealand,Pakistan,New Zealand,183 runs,183,,Dunedin,13/Jan/18,ODI # 3949
U.A.E.,Ireland,Ireland,67 runs,67,,ICCA Dubai,13/Jan/18,ODI # 3950
Australia,England,England,5 wickets,,5,Melbourne,14/Jan/18,ODI # 3951
Bangladesh,Zimbabwe,Bangladesh,8 wickets,,8,Dhaka,15/Jan/18,ODI # 3952
New Zealand,Pakistan,New Zealand,5 wickets,,5,Hamilton,16/Jan/18,ODI # 3953
Ireland,Scotland,Ireland,6 wickets,,6,ICCA Dubai,16/Jan/18,ODI # 3954
Sri Lanka,Zimbabwe,Zimbabwe,12 runs,12,,Dhaka,17/Jan/18,ODI # 3955
Ireland,Scotland,Ireland,24 runs,24,,ICCA Dubai,18/Jan/18,ODI # 3956
New Zealand,Pakistan,New Zealand,15 runs,15,,Wellington,19/Jan/18,ODI # 3957
Australia,England,England,4 wickets,,4,Brisbane,19/Jan/18,ODI # 3958
Bangladesh,Sri Lanka,Bangladesh,163 runs,163,,Dhaka,19/Jan/18,ODI # 3959
Australia,England,England,16 runs,16,,Sydney,21/Jan/18,ODI # 3960
U.A.E.,Scotland,Scotland,31 runs,31,,ICCA Dubai,21/Jan/18,ODI # 3961
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,,5,Dhaka,21/Jan/18,ODI # 3962
U.A.E.,Scotland,U.A.E.,4 wickets,,4,ICCA Dubai,23/Jan/18,ODI # 3963
Bangladesh,Zimbabwe,Bangladesh,91 runs,91,,Dhaka,23/Jan/18,ODI # 3964
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,,10,Dhaka,25/Jan/18,ODI # 3965
Australia,England,Australia,3 wickets,,3,Adelaide,26/Jan/18,ODI # 3966
Bangladesh,Sri Lanka,Sri Lanka,79 runs,79,,Dhaka,27/Jan/18,ODI # 3967
Australia,England,England,12 runs,12,,Perth,28/Jan/18,ODI # 3968
South Africa,India,India,6 wickets,,6,Durban,01/Feb/18,ODI # 3969
South Africa,India,India,9 wickets,,9,Centurion,04/Feb/18,ODI # 3970
South Africa,India,India,124 runs,124,,Cape Town,07/Feb/18,ODI # 3971
Afghanistan,Zimbabwe,Afghanistan,154 runs,154,,Sharjah,09/Feb/18,ODI # 3972
South Africa,India,South Africa,5 wickets,,5,Johannesburg,10/Feb/18,ODI # 3973
Afghanistan,Zimbabwe,Zimbabwe,154 runs,154,,Sharjah,11/Feb/18,ODI # 3974
Afghanistan,Zimbabwe,Afghanistan,6 wickets,,6,Sharjah,13/Feb/18,ODI # 3975
South Africa,India,India,73 runs,73,,Port Elizabeth,13/Feb/18,ODI # 3976
Afghanistan,Zimbabwe,Afghanistan,10 wickets,,10,Sharjah,16/Feb/18,ODI # 3977
South Africa,India,India,8 wickets,,8,Centurion,16/Feb/18,ODI # 3978
Afghanistan,Zimbabwe,Afghanistan,146 runs,146,,Sharjah,19/Feb/18,ODI # 3979
New Zealand,England,New Zealand,3 wickets,,3,Hamilton,25/Feb/18,ODI # 3980
New Zealand,England,England,6 wickets,,6,Mount Maunganui,28/Feb/18,ODI # 3981
New Zealand,England,England,4 runs,4,,Wellington,03/Mar/18,ODI # 3982
Afghanistan,Scotland,Scotland,7 wickets,,7,Bulawayo,04/Mar/18,ODI # 3983
P.N.G.,U.A.E.,U.A.E.,56 runs,56,,Harare,04/Mar/18,ODI # 3984
Hong Kong,Scotland,Scotland,4 wickets,,4,Bulawayo,06/Mar/18,ODI # 3985
Ireland,P.N.G.,Ireland,4 wickets,,4,Harare,06/Mar/18,ODI # 3986
U.A.E.,West Indies,West Indies,60 runs,60,,Harare,06/Mar/18,ODI # 3987
Zimbabwe,Afghanistan,Zimbabwe,2 runs,2,,Bulawayo,06/Mar/18,ODI # 3988
New Zealand,England,New Zealand,5 wickets,,5,Dunedin,07/Mar/18,ODI # 3989
Afghanistan,Hong Kong,Hong Kong,30 runs,30,,Bulawayo,08/Mar/18,ODI # 3990
P.N.G.,West Indies,West Indies,6 wickets,,6,Harare,08/Mar/18,ODI # 3991
New Zealand,England,England,7 wickets,,7,Christchurch,10/Mar/18,ODI # 3992
Ireland,West Indies,West Indies,52 runs,52,,Harare,10/Mar/18,ODI # 3993
Zimbabwe,Hong Kong,Zimbabwe,89 runs,89,,Bulawayo,10/Mar/18,ODI # 3994
Ireland,U.A.E.,Ireland,226 runs,226,,Harare,12/Mar/18,ODI # 3995
Zimbabwe,Scotland,tied,,0,0,Bulawayo,12/Mar/18,ODI # 3996
Afghanistan,West Indies,Afghanistan,3 wickets,,3,Harare,15/Mar/18,ODI # 3997
Scotland,U.A.E.,Scotland,73 runs,73,,Bulawayo,15/Mar/18,ODI # 3998
Zimbabwe,Ireland,Zimbabwe,107 runs,107,,Harare,16/Mar/18,ODI # 3999
Hong Kong,P.N.G.,P.N.G.,58 runs,58,,Harare,17/Mar/18,ODI # 4000
Ireland,Scotland,Ireland,25 runs,25,,Harare,18/Mar/18,ODI # 4001
Zimbabwe,West Indies,West Indies,4 wickets,,4,Harare,19/Mar/18,ODI # 4002
Afghanistan,U.A.E.,Afghanistan,5 wickets,,5,Harare,20/Mar/18,ODI # 4003
Scotland,West Indies,West Indies,5 runs,5,,Harare,21/Mar/18,ODI # 4004
